"hisco","status","relation","age","sex"
99999,NA,NA,52,"female"
99999,NA,NA,54,"female"
99999,NA,NA,57,"female"
99999,NA,NA,15,"male"
99999,NA,NA,18,"male"
99999,NA,NA,20,"male"
99999,NA,NA,21,"male"
99999,NA,NA,24,"male"
99930,NA,NA,26,"male"
99930,NA,NA,27,"male"
99930,NA,NA,29,"male"
99930,NA,NA,30,"male"
99930,NA,NA,35,"male"
99930,NA,NA,39,"male"
99930,NA,NA,41,"male"
87350,NA,NA,42,"male"
87350,NA,NA,44,"male"
87350,NA,NA,47,"male"
87350,NA,NA,48,"male"
87350,NA,NA,53,"male"
87350,NA,NA,56,"male"
87350,NA,NA,60,"male"
87350,NA,NA,61,"male"
87350,NA,NA,63,"male"
87350,NA,NA,64,"male"
87350,NA,NA,66,"male"
87350,NA,NA,69,"male"
87350,NA,NA,70,"male"
99999,NA,NA,22,"female"
99999,NA,NA,25,"female"
99999,NA,NA,27,"female"
99999,NA,NA,28,"female"
99999,NA,NA,30,"female"
99999,NA,NA,32,"female"
99999,NA,NA,33,"female"
99999,NA,NA,35,"female"
99999,NA,NA,36,"female"
99999,NA,NA,39,"female"
99999,NA,NA,41,"female"
99999,NA,NA,43,"female"
99999,NA,NA,46,"female"
99999,NA,NA,49,"female"
99999,NA,NA,50,"female"
99999,NA,NA,52,"female"
99999,NA,NA,53,"female"
99999,NA,NA,55,"female"
99999,NA,NA,56,"female"
99999,NA,NA,59,"female"
99999,NA,NA,62,"female"
99999,NA,NA,64,"female"
99999,NA,NA,67,"female"
99999,NA,NA,69,"female"
99999,NA,NA,70,"female"
99999,NA,NA,72,"female"
39310,NA,NA,15,"female"
39310,NA,NA,18,"female"
39310,NA,NA,23,"female"
39310,NA,NA,24,"female"
39310,NA,NA,26,"female"
39310,NA,NA,27,"female"
39310,NA,NA,28,"female"
39310,NA,NA,30,"female"
39310,NA,NA,31,"female"
39310,NA,NA,37,"female"
39310,NA,NA,39,"female"
39310,NA,NA,40,"female"
98330,NA,NA,31,"male"
98330,NA,NA,37,"male"
99999,NA,NA,16,"female"
-2,NA,NA,20,"female"
99999,NA,NA,23,"female"
99999,NA,NA,24,"female"
99999,NA,NA,26,"female"
99999,NA,NA,29,"female"
99999,NA,NA,30,"female"
99999,NA,NA,32,"female"
99999,NA,NA,34,"female"
99999,NA,NA,35,"female"
99999,NA,NA,37,"female"
99999,NA,NA,38,"female"
99999,NA,NA,23,"female"
99999,NA,NA,24,"female"
99999,NA,NA,30,"female"
99999,NA,NA,17,"female"
99999,NA,NA,18,"female"
99999,NA,NA,38,"female"
99999,NA,NA,41,"female"
99999,NA,NA,42,"female"
99999,NA,NA,44,"female"
99999,NA,NA,45,"female"
99999,NA,NA,51,"female"
99920,NA,NA,31,"male"
99920,NA,NA,33,"male"
99920,NA,NA,34,"male"
99920,NA,NA,36,"male"
99920,NA,NA,37,"male"
99920,NA,NA,39,"male"
99920,NA,NA,40,"male"
99920,NA,NA,42,"male"
99920,NA,NA,44,"male"
99920,NA,NA,45,"male"
99920,NA,NA,48,"male"
99999,NA,NA,16,"female"
99999,NA,NA,17,"female"
99999,NA,NA,18,"female"
99999,NA,NA,20,"female"
99999,NA,NA,15,"male"
99999,NA,NA,17,"male"
99999,NA,NA,20,"male"
99999,NA,NA,21,"male"
99999,NA,NA,24,"male"
99999,NA,NA,26,"male"
99999,NA,NA,27,"male"
99999,NA,NA,28,"male"
99999,NA,NA,31,"male"
99999,NA,NA,34,"male"
99999,NA,NA,23,"male"
99999,NA,NA,27,"male"
99999,NA,NA,29,"male"
99999,NA,NA,30,"male"
99999,NA,NA,32,"male"
99999,NA,NA,33,"male"
61220,NA,NA,35,"male"
61220,NA,NA,36,"male"
99900,NA,NA,40,"male"
99900,NA,NA,46,"male"
99900,NA,NA,47,"male"
99900,NA,NA,49,"male"
98620,NA,NA,50,"male"
98620,NA,NA,52,"male"
98620,NA,NA,53,"male"
98620,NA,NA,55,"male"
98620,NA,NA,56,"male"
98620,NA,NA,58,"male"
98620,NA,NA,59,"male"
98620,NA,NA,62,"male"
98620,NA,NA,65,"male"
98620,NA,NA,68,"male"
98620,NA,NA,69,"male"
98620,NA,NA,72,"male"
98620,NA,NA,74,"male"
99999,NA,NA,17,"female"
99999,NA,NA,20,"female"
99999,NA,NA,22,"female"
99999,NA,NA,26,"female"
99999,NA,NA,29,"female"
99999,NA,NA,31,"female"
99999,NA,NA,34,"female"
99999,NA,NA,35,"female"
99999,NA,NA,37,"female"
99999,NA,NA,40,"female"
99999,NA,NA,41,"female"
99999,NA,NA,45,"female"
99999,NA,NA,48,"female"
-2,NA,NA,16,"male"
-2,NA,NA,17,"male"
NA,NA,NA,19,"male"
NA,NA,NA,20,"male"
NA,NA,NA,22,"male"
77330,NA,NA,25,"male"
77330,NA,NA,28,"male"
77330,NA,NA,31,"male"
77330,NA,NA,32,"male"
77330,NA,NA,38,"male"
77330,NA,NA,39,"male"
77330,NA,NA,41,"male"
77330,NA,NA,42,"male"
77330,NA,NA,47,"male"
77330,NA,NA,48,"male"
77330,NA,NA,50,"male"
77330,NA,NA,53,"male"
77330,NA,NA,54,"male"
77330,NA,NA,56,"male"
77330,NA,NA,59,"male"
-2,NA,NA,15,"male"
-2,NA,NA,16,"male"
-2,NA,NA,17,"male"
-2,NA,NA,22,"male"
99900,NA,NA,23,"male"
99900,NA,NA,25,"male"
99900,NA,NA,26,"male"
99900,NA,NA,28,"male"
99900,NA,NA,32,"male"
99900,NA,NA,35,"male"
99900,NA,NA,37,"male"
99900,NA,NA,38,"male"
99900,NA,NA,43,"male"
96925,NA,NA,47,"male"
99900,NA,NA,49,"male"
99900,NA,NA,52,"male"
99900,NA,NA,58,"male"
99900,NA,NA,62,"male"
99930,NA,NA,63,"male"
99930,NA,NA,65,"male"
99930,NA,NA,69,"male"
99930,NA,NA,72,"male"
99930,NA,NA,74,"male"
99930,NA,NA,78,"male"
99999,NA,NA,20,"male"
99999,NA,NA,21,"male"
99999,NA,NA,24,"male"
2210,NA,NA,30,"male"
2210,NA,NA,31,"male"
2210,NA,NA,33,"male"
2210,NA,NA,34,"male"
2210,NA,NA,36,"male"
2210,NA,NA,42,"male"
99999,NA,NA,19,"female"
99999,NA,NA,20,"female"
99999,NA,NA,22,"female"
99999,NA,NA,23,"female"
99999,NA,NA,24,"female"
99999,NA,NA,30,"female"
99999,NA,NA,31,"female"
99999,NA,NA,34,"female"
99999,NA,NA,37,"female"
99999,NA,NA,42,"female"
99999,NA,NA,45,"female"
99999,NA,NA,46,"female"
99999,NA,NA,49,"female"
99999,NA,NA,50,"female"
99999,NA,NA,52,"female"
99999,NA,NA,53,"female"
99999,NA,NA,55,"female"
99999,NA,NA,18,"male"
30000,NA,NA,29,"male"
30000,NA,NA,31,"male"
30000,NA,NA,35,"male"
30000,NA,NA,41,"male"
30000,NA,NA,42,"male"
30000,NA,NA,44,"male"
30000,NA,NA,45,"male"
30000,NA,NA,50,"male"
30000,NA,NA,53,"male"
30000,NA,NA,56,"male"
30000,NA,NA,57,"male"
30000,NA,NA,64,"male"
30000,NA,NA,66,"male"
30000,NA,NA,69,"male"
30000,NA,NA,70,"male"
30000,NA,NA,73,"male"
30000,NA,NA,75,"male"
30000,NA,NA,76,"male"
99999,NA,NA,19,"female"
99999,NA,NA,20,"female"
54020,NA,NA,24,"female"
54020,NA,NA,26,"female"
54020,NA,NA,27,"female"
99999,NA,NA,16,"male"
99999,NA,NA,17,"male"
99999,NA,NA,20,"male"
83110,NA,NA,26,"male"
83110,NA,NA,28,"male"
83110,NA,NA,31,"male"
83110,NA,NA,32,"male"
83110,NA,NA,34,"male"
83110,NA,NA,35,"male"
83110,NA,NA,37,"male"
83110,NA,NA,38,"male"
83110,NA,NA,41,"male"
83110,NA,NA,44,"male"
83110,NA,NA,47,"male"
83110,NA,NA,50,"male"
83110,NA,NA,52,"male"
99999,NA,NA,15,"male"
99999,NA,NA,17,"male"
99999,NA,NA,18,"male"
99999,NA,NA,20,"male"
99999,NA,NA,22,"male"
99999,NA,NA,23,"male"
99999,NA,NA,25,"male"
99999,NA,NA,26,"male"
3110,NA,NA,32,"male"
3110,NA,NA,35,"male"
3110,NA,NA,36,"male"
3110,NA,NA,41,"male"
3110,NA,NA,42,"male"
45130,NA,NA,44,"male"
83110,NA,NA,26,"male"
54020,NA,NA,16,"female"
99999,NA,NA,22,"female"
99999,NA,NA,25,"female"
99999,NA,NA,26,"female"
99999,NA,NA,28,"female"
99999,NA,NA,31,"female"
99999,NA,NA,32,"female"
99999,NA,NA,37,"female"
99999,NA,NA,43,"female"
99999,NA,NA,45,"female"
99999,NA,NA,46,"female"
99999,NA,NA,48,"female"
99999,NA,NA,51,"female"
99999,NA,NA,52,"female"
99999,NA,NA,55,"female"
99999,NA,NA,61,"female"
99999,NA,NA,62,"female"
99999,NA,NA,67,"female"
99999,NA,NA,70,"female"
99999,NA,NA,15,"female"
NA,NA,NA,16,"female"
55220,NA,NA,45,"female"
55220,NA,NA,46,"female"
55220,NA,NA,48,"female"
55220,NA,NA,49,"female"
55220,NA,NA,51,"female"
-2,NA,NA,54,"female"
-2,NA,NA,56,"female"
-2,NA,NA,57,"female"
-2,NA,NA,59,"female"
-2,NA,NA,61,"female"
-2,NA,NA,63,"female"
-2,NA,NA,64,"female"
-2,NA,NA,66,"female"
-2,NA,NA,67,"female"
54020,NA,NA,17,"female"
54020,NA,NA,19,"female"
54020,NA,NA,22,"female"
99999,NA,NA,24,"female"
99999,NA,NA,25,"female"
99999,NA,NA,28,"female"
99999,NA,NA,30,"female"
99999,NA,NA,31,"female"
99999,NA,NA,33,"female"
99999,NA,NA,34,"female"
99999,NA,NA,36,"female"
99999,NA,NA,37,"female"
99999,NA,NA,40,"female"
99999,NA,NA,42,"female"
99999,NA,NA,51,"female"
99999,NA,NA,53,"female"
99999,NA,NA,54,"female"
99999,NA,NA,17,"male"
93120,NA,NA,19,"male"
93120,NA,NA,20,"male"
93120,NA,NA,26,"male"
93120,NA,NA,28,"male"
93120,NA,NA,29,"male"
93120,NA,NA,38,"male"
93120,NA,NA,41,"male"
93120,NA,NA,44,"male"
93120,NA,NA,45,"male"
93120,NA,NA,47,"male"
93120,NA,NA,50,"male"
93120,NA,NA,53,"male"
93120,NA,NA,57,"male"
93120,NA,NA,60,"male"
93120,NA,NA,61,"male"
93120,NA,NA,63,"male"
93120,NA,NA,66,"male"
93120,NA,NA,69,"male"
99999,NA,NA,15,"male"
99999,NA,NA,17,"male"
99999,NA,NA,18,"male"
99999,NA,NA,21,"male"
99900,NA,NA,23,"male"
99900,NA,NA,24,"male"
99900,NA,NA,28,"male"
99900,NA,NA,30,"male"
99900,NA,NA,31,"male"
99900,NA,NA,33,"male"
99900,NA,NA,34,"male"
97400,NA,NA,39,"male"
97400,NA,NA,40,"male"
97400,NA,NA,45,"male"
97400,NA,NA,46,"male"
97400,NA,NA,52,"male"
97400,NA,NA,53,"male"
99910,NA,NA,56,"male"
99910,NA,NA,59,"male"
99910,NA,NA,61,"male"
99910,NA,NA,62,"male"
99910,NA,NA,64,"male"
99910,NA,NA,65,"male"
99910,NA,NA,67,"male"
99910,NA,NA,68,"male"
77610,NA,NA,26,"male"
77610,NA,NA,28,"male"
77610,NA,NA,35,"male"
77620,NA,NA,39,"male"
77620,NA,NA,45,"male"
77620,NA,NA,47,"male"
77620,NA,NA,50,"male"
77620,NA,NA,51,"male"
77620,NA,NA,53,"male"
77620,NA,NA,56,"male"
77620,NA,NA,58,"male"
77620,NA,NA,59,"male"
-2,NA,NA,61,"male"
-2,NA,NA,64,"male"
-2,NA,NA,65,"male"
99920,NA,NA,19,"male"
99920,NA,NA,20,"male"
99920,NA,NA,22,"male"
99920,NA,NA,23,"male"
99920,NA,NA,25,"male"
99920,NA,NA,26,"male"
99920,NA,NA,31,"male"
99920,NA,NA,32,"male"
99920,NA,NA,38,"male"
99920,NA,NA,41,"male"
54020,NA,NA,22,"female"
99999,NA,NA,30,"female"
99999,NA,NA,16,"female"
41030,NA,NA,24,"male"
41030,NA,NA,38,"male"
99999,NA,NA,28,"female"
99999,NA,NA,33,"female"
99999,NA,NA,32,"female"
NA,NA,NA,24,"female"
37040,NA,NA,34,"male"
4217,NA,NA,36,"male"
99920,NA,NA,26,"male"
99920,NA,NA,31,"male"
97120,NA,NA,29,"male"
-2,NA,NA,44,"male"
-2,NA,NA,53,"female"
99999,NA,NA,38,"female"
53210,NA,NA,24,"female"
78200,NA,NA,38,"male"
45130,NA,NA,43,"female"
45130,NA,NA,46,"female"
99999,NA,NA,28,"female"
98135,NA,NA,31,"male"
98135,NA,NA,34,"male"
98135,NA,NA,35,"male"
-1,NA,NA,61,"male"
-1,NA,NA,64,"male"
-2,NA,NA,51,"female"
54020,NA,NA,31,"female"
-2,NA,NA,44,"female"
-2,NA,NA,46,"female"
-2,NA,NA,49,"female"
-2,NA,NA,16,"male"
31030,NA,NA,49,"male"
31030,NA,NA,55,"male"
31030,NA,NA,56,"male"
-1,NA,NA,61,"male"
58220,NA,NA,32,"male"
58220,NA,NA,34,"male"
58220,NA,NA,35,"male"
58220,NA,NA,42,"male"
-2,NA,NA,45,"male"
-2,NA,NA,47,"male"
-2,NA,NA,50,"male"
-2,NA,NA,51,"male"
54020,NA,NA,19,"female"
54020,NA,NA,24,"female"
-2,NA,NA,33,"female"
-2,NA,NA,36,"female"
-2,NA,NA,38,"female"
-2,NA,NA,39,"female"
-2,NA,NA,44,"female"
-2,NA,NA,45,"female"
-2,NA,NA,50,"female"
98330,NA,NA,41,"male"
98330,NA,NA,53,"male"
98330,NA,NA,57,"male"
98330,NA,NA,64,"male"
98330,NA,NA,66,"male"
98330,NA,NA,69,"male"
-2,NA,NA,33,"female"
-2,NA,NA,36,"female"
-2,NA,NA,39,"female"
-2,NA,NA,43,"female"
-2,NA,NA,44,"female"
-2,NA,NA,46,"female"
-2,NA,NA,47,"female"
58220,NA,NA,30,"male"
58220,NA,NA,43,"male"
58220,NA,NA,44,"male"
41030,NA,NA,65,"male"
41030,NA,NA,67,"male"
41030,NA,NA,68,"male"
99930,NA,NA,33,"male"
99930,NA,NA,36,"male"
13940,NA,NA,62,"male"
13940,NA,NA,64,"male"
-2,NA,NA,28,"female"
-2,NA,NA,30,"female"
-2,NA,NA,42,"female"
-2,NA,NA,47,"female"
-2,NA,NA,49,"female"
-2,NA,NA,50,"female"
-2,NA,NA,55,"female"
54020,NA,NA,26,"female"
54020,NA,NA,29,"female"
54020,NA,NA,34,"female"
2210,NA,NA,21,"male"
2210,NA,NA,27,"male"
22675,NA,NA,34,"male"
22675,NA,NA,36,"male"
22675,NA,NA,44,"male"
-2,NA,NA,32,"female"
-2,NA,NA,34,"female"
-2,NA,NA,40,"female"
-2,NA,NA,44,"female"
-2,NA,NA,50,"female"
-2,NA,NA,58,"female"
-2,NA,NA,64,"female"
-2,NA,NA,69,"female"
-2,NA,NA,78,"female"
95925,NA,NA,60,"male"
95925,NA,NA,66,"male"
97145,NA,NA,63,"male"
97145,NA,NA,65,"male"
54020,NA,NA,27,"female"
54020,NA,NA,31,"female"
99999,NA,NA,44,"female"
97145,NA,NA,55,"male"
-2,NA,NA,64,"male"
99999,NA,NA,23,"female"
99999,NA,NA,28,"female"
99999,NA,NA,81,"female"
99999,NA,NA,82,"female"
99999,NA,NA,84,"female"
99999,NA,NA,85,"female"
43220,NA,NA,45,"male"
-2,NA,NA,67,"female"
-2,NA,NA,54,"female"
-2,NA,NA,68,"female"
-2,NA,NA,24,"female"
-2,NA,NA,37,"female"
99999,NA,NA,35,"female"
95120,NA,NA,29,"male"
-2,NA,NA,17,"female"
93120,NA,NA,18,"male"
54060,NA,NA,35,"male"
54060,NA,NA,36,"male"
99999,NA,NA,23,"male"
99999,NA,NA,15,"female"
99999,NA,NA,28,"female"
81210,NA,NA,21,"male"
39310,NA,NA,30,"male"
99999,NA,NA,15,"female"
99999,NA,NA,22,"female"
99999,NA,NA,23,"female"
99999,NA,NA,26,"female"
99999,NA,NA,24,"female"
99999,NA,NA,20,"male"
77810,NA,NA,31,"male"
39310,NA,NA,22,"male"
99999,NA,NA,16,"male"
99999,NA,NA,25,"male"
99999,NA,NA,19,"male"
39310,NA,NA,29,"female"
99999,NA,NA,18,"female"
99999,NA,NA,34,"female"
99999,NA,NA,29,"female"
NA,NA,NA,15,"female"
13490,NA,NA,27,"female"
99999,NA,NA,25,"female"
99999,NA,NA,27,"female"
99999,NA,NA,16,"male"
NA,NA,NA,17,"female"
97440,NA,NA,17,"male"
99999,NA,NA,15,"male"
99999,NA,NA,20,"female"
54020,NA,NA,16,"female"
54020,NA,NA,19,"female"
99999,NA,NA,24,"female"
99999,NA,NA,18,"female"
97145,NA,NA,20,"male"
42220,NA,NA,26,"male"
54020,NA,NA,21,"female"
39310,NA,NA,20,"male"
39310,NA,NA,22,"male"
93120,NA,NA,21,"male"
37040,NA,NA,17,"male"
97145,NA,NA,20,"male"
85510,NA,NA,19,"male"
45130,NA,NA,28,"male"
33110,NA,NA,27,"male"
99999,NA,NA,26,"female"
99999,NA,NA,28,"female"
84190,NA,NA,26,"male"
99999,NA,NA,18,"female"
99999,NA,NA,25,"female"
-2,NA,NA,17,"female"
43220,NA,NA,27,"male"
99999,NA,NA,24,"male"
99999,NA,NA,27,"female"
99999,NA,NA,20,"male"
85510,NA,NA,21,"male"
85510,NA,NA,24,"male"
85510,NA,NA,27,"male"
99999,NA,NA,15,"male"
99999,NA,NA,18,"female"
99999,NA,NA,29,"female"
-1,NA,NA,16,"male"
-1,NA,NA,17,"male"
-1,NA,NA,19,"male"
75400,NA,NA,25,"male"
95410,NA,NA,27,"male"
79510,NA,NA,21,"female"
79510,NA,NA,23,"female"
99999,NA,NA,30,"female"
54020,NA,NA,20,"female"
99999,NA,NA,16,"female"
